GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ValueObject Library,de.javanarior.vo.example.person.typed,Person,15,0,0,0,6,0,3,0,3,0
ValueObject Library,de.javanarior.vo.example.person.typed,Firstname,4,0,0,0,2,0,1,0,1,0
ValueObject Library,de.javanarior.vo.example.person.typed,Surname,4,0,0,0,2,0,1,0,1,0
ValueObject Library,de.javanarior.vo.types,NullObject,0,26,0,2,0,8,0,7,0,6
ValueObject Library,de.javanarior.vo.types,AbstractValue,0,118,0,8,0,30,0,26,0,22
ValueObject Library,de.javanarior.vo.types,BooleanWrapper,0,46,0,6,0,13,0,9,0,6
ValueObject Library,de.javanarior.vo.types,CharWrapper,0,42,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.types,BigIntegerWrapper,0,46,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.types,StringWrapper,0,42,0,4,0,12,0,7,0,5
ValueObject Library,de.javanarior.vo.types,BigDecimalWrapper,0,46,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.types,ShortWrapper,0,42,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.types,DoubleWrapper,0,53,0,4,0,14,0,8,0,6
ValueObject Library,de.javanarior.vo.types,IntWrapper,0,42,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.types,LongWrapper,0,45,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.types,ByteWrapper,0,42,0,4,0,13,0,8,0,6
ValueObject Library,de.javanarior.vo.example.person.string,Person,15,0,0,0,6,0,3,0,3,0
ValueObject Library,de.javanarior.vo.types.speaking,SpeakingComparableAdapter,0,55,0,14,0,7,0,14,0,7
